Source Category Code,Source category name,Source subcategory,Source subcategory name,Agency code,Agency name,Bureau code,Bureau name,Account code,Account name,Treasury Agency code,On- or off-budget,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800511,"FHI Trust Fund, Transfers from General Fund (SECA Taxes)",75,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,374,353","1,970,507","2,289,342","2,816,435","3,517,029","3,555,662","4,174,590","5,076,640","5,458,929","4,686,680","5,787,879","6,732,000","6,752,000","6,844,000","9,029,000","8,520,000","9,200,000","9,722,000","9,785,000","9,905,000","10,789,000","11,252,000","11,829,000","13,431,000","14,611,000","14,724,000","14,014,000","12,944,000","13,886,000","16,016,000","18,230,000","18,436,000","18,975,000","19,898,000","20,787,000","21,654,000","22,594,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800515,"FHI Trust Fund, Refunds",20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-80,600","-128,700","-145,300","-112,650","-147,350","-217,350","-215,100","-160,950","-53,650","-13,050","-72,500",0,"17,000","3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,009,Department of Health and Human Services,00,Department of Health and Human Services,800530,"FHI Trust Fund, Deposits by States",20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,103,027","4,202,470","5,320,057","1,989,450","-42,181","2,505","-7,852","2,448","3,686","-1,574",-82,0,0,"-17,000","-2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800600,FOASI Trust Fund Receipts,20,Off-budget,"11,266,775","13,117,150","15,241,969","15,567,196","17,555,805","22,197,001","22,265,430","25,483,737","29,395,673","31,354,230","35,131,725","40,703,177","47,777,693","55,207,357","58,702,724","15,885,856","68,031,819","73,140,785","83,410,010","96,580,697","117,757,123","122,840,445","128,972,498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800610,"FOASI, Transfers from General Fund (FICA Taxes)",28,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"129,089,725","144,925,051","156,134,168","179,409,373","207,880,217","227,788,795","239,800,106","247,682,008","256,690,692","267,837,964","286,552,953","267,275,000","296,322,000","319,524,000","340,188,000","364,423,000","391,732,000","413,845,000","418,018,000","425,990,000","431,974,000","468,676,000","493,550,000","513,674,000","531,595,000","527,708,000","509,647,000","459,124,000","463,203,000","545,045,000","592,138,000","617,192,000","606,746,000","624,472,000","655,293,000","685,774,000","714,121,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800611,"FOASI, Transfers from General Fund (SECA Taxes)",28,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,602,072","7,718,383","8,697,652","10,181,337","12,928,600","13,637,596","16,008,397","18,411,709","17,116,925","14,372,018","16,843,366","16,815,000","16,983,000","18,070,000","20,379,000","20,437,000","21,635,000","22,872,000","23,381,000","23,269,000","25,980,000","27,183,000","28,411,000","31,124,000","33,028,000","33,506,000","31,844,000","26,349,000","25,550,000","32,598,000","38,848,000","39,771,000","38,013,000","38,920,000","40,549,000","42,223,000","44,094,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800615,"FOASI, Refunds",20,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-296,050","-472,325","-539,100","-374,265","-511,950","-790,705","-790,790","-603,780","-677,600","-466,340","-744,940",0,"-1,403,000","-895,000","-1,778,000","-1,301,000","-1,695,000","-2,660,000","-858,000","-1,453,000","-834,000","-2,213,000","-1,892,000","-1,897,000","-2,104,000","-2,147,000","-1,495,000","-1,790,000","-1,970,000","-2,088,000","-2,194,000","-2,516,000","-2,688,000","-2,855,000","-3,062,000","-3,244,000","-3,383,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800630,"FOASI, Deposits by States",20,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,915,794","17,650,901","18,224,806","5,324,577","39,824","-41,034","13,050","12,382","6,417","-8,578","-44,528","1,000","-33,000","30,000","-5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800700,"FDI Trust Fund, Receipts",20,Off-budget,"1,003,834","1,057,733","1,123,918","1,155,760","1,529,584","2,204,397","2,651,369","3,469,434","4,063,358","4,490,470","4,774,996","5,380,969","6,147,425","7,250,216","7,686,093","2,130,051","8,785,502","12,250,396","14,583,743","16,628,258","12,418,497","20,626,449","18,347,789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800701,"FDI, Transfers from General Fund (FICA Taxes)",28,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,450,845","14,030,866","15,026,178","17,250,714","19,949,090","21,836,938","25,092,853","26,482,952","27,516,326","28,705,984","30,696,657","63,408,000","52,736,000","52,381,000","54,076,000","57,891,000","65,401,000","70,240,000","70,969,000","72,333,000","73,359,000","79,586,000","83,809,000","87,227,000","90,272,000","89,617,000","86,540,000","77,935,000","78,712,000","92,540,000","100,544,000","104,799,000","149,941,000","173,109,000","181,613,000","190,038,000","197,889,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800711,"FDI, Transfers from General Fund (SECA Taxes)",28,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"733,020","779,392","853,488","989,820","1,244,709","1,309,764","1,611,606","1,968,035","1,845,042","1,544,552","1,802,013","3,580,000","3,146,000","3,044,000","3,233,000","3,224,000","3,772,000","3,669,000","3,963,000","3,949,000","4,411,000","4,616,000","4,825,000","5,283,000","5,612,000","5,690,000","5,405,000","4,474,000","4,341,000","5,534,000","6,601,000","6,751,000","9,409,000","10,817,000","11,269,000","11,733,000","12,253,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800715,"FDI, Refunds",20,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-38,750","-48,775","-52,500","-28,675","-48,450","-76,955","-75,790","-66,080","-73,400","-51,340","-79,940",0,"-259,000","-158,000","-293,000","-206,000","-270,000","-447,000","-152,000","-246,000","-145,000","-372,000","-321,000","-322,000","-357,000","-365,000","-254,000","-304,000","-335,000","-355,000","-372,000","-427,000","-456,000","-485,000","-520,000","-551,000","-574,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,016,Social Security Administration,00,Social Security Administration,800730,"FDI, Deposits by States",20,Off-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,618,292","1,586,988","1,883,618","648,515","8,850",864,"-4,043","-2,826","1,360",-543,9,0,0,"-6,000","-1,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801015,"Refunds, Railroad Social Security Equivalent Benefit Account",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-14,488","-10,000","-27,000","-5,000","-12,000","-3,000","-3,000","-4,000","-4,000","-4,000","-2,000",0,"-1,000","-1,000","-7,000","-1,000","-1,000","-1,000","-3,000","-32,000","-8,000","-3,000","-3,000","-3,000","-3,000","-3,000","-3,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801020,"Railroad Social Security Equivalent Benefit Account, Taxes",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,717,085","1,716,262","1,743,503","1,749,107","1,751,141","1,719,310","1,757,073","1,844,687","1,794,822","1,807,957","1,886,000","1,899,000","1,996,000","2,162,000","1,906,000","2,071,000","2,040,000","2,044,000","2,020,000","2,122,000","2,252,000","2,335,000","2,408,000","2,530,000","2,409,000","2,362,000","2,276,000","2,251,000","2,689,000","2,914,000","2,976,000","3,042,000","3,132,000","3,232,000","3,328,000","3,423,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801021,"Railroad Social Security Equivalent Benefit Account, Receipts Transferred to Federal Hospital Insurance Trust Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-325,700","-321,100","-329,900","-332,400","-344,600","-332,300","-329,000","-336,800","-381,000","-394,400","-358,000","-362,000","-380,000","-381,000","-388,000","-418,000","-422,000","-388,000","-396,000","-391,000","-416,000","-440,000","-455,000","-494,000","-496,000","-507,000","-452,000","-484,000","-547,000","-581,000","-594,000","-608,000","-622,000","-641,000","-663,000","-683,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801100,"Rail Industry Pension Fund, Receipts",60,On-budget,"564,264","571,533","593,477","635,536","683,458","776,493","814,327","884,749","918,833","980,394","1,008,383","1,188,933","1,411,333","1,489,333","1,525,144","328,310","1,908,494","1,822,006","2,189,887","2,322,877","2,457,238","2,917,475","2,804,784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801115,"Refunds, Rail Industry Pension Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-12,980","-21,174","-6,837","-17,888","-32,148","-10,474","-41,574","7,612","-4,559","-10,889","-28,250","-19,000","-36,000","-7,000","-15,000","-4,000","-4,000","-5,000","-4,000","-5,000","-2,000",0,"-1,000","-1,000","-5,000","-1,000","-1,000","-1,000","-3,000","-31,000","-8,000","-3,000","-3,000","-3,000","-3,000","-3,000","-3,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801120,"Taxes, Rail Industry Pension Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,524,864","2,066,721","2,043,216","2,114,265","2,247,832","2,290,689","2,227,965","2,268,219","2,353,348","2,265,687","2,263,302","2,366,000","2,330,000","2,343,000","2,480,000","2,542,000","2,615,000","2,595,000","2,505,000","2,338,000","2,299,000","2,284,000","2,339,000","2,310,000","2,409,000","2,302,000","2,286,000","2,416,000","2,522,000","2,822,000","3,040,000","3,197,000","3,271,000","3,367,000","3,473,000","3,575,000","3,675,000"
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801121,"Receipts Transferred to Federal Hospital Insurance Trust Fund, Rail Industry Pension Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-308,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801215,"Refunds, Supplemental Annuity Pension Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,699","-1,000","-30,000",0,"-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,05,Employment Taxes and Contributions,446,Railroad Retirement Board,00,Railroad Retirement Board,801220,"Supplemental Annuity Taxes, Supplemental Annuity Pension Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"117,166","167,951","66,497","123,943","110,418","110,528","105,826","95,023","100,065","112,522","89,847","78,000","98,000","104,000","119,000","91,000","77,000","68,000","24,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,012100,Federal Unemployment Tax Act Taxes,20,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,-4,0,0,"967,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804200,"Unemployment Trust Fund, Receipts",20,On-budget,"3,336,514","4,111,983","3,996,660","3,802,568","3,755,331","3,575,386","3,345,622","3,328,496","3,464,281","3,673,955","4,356,670","6,051,483","6,836,546","6,770,705","8,053,658","2,697,904","11,311,506","13,849,598","15,386,733","15,335,788","15,762,948","16,600,381","18,799,087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804201,"General Taxes, FUTA, Unemployment Trust Fund",16,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,899,083","5,554,314","5,043,601","6,080,272","5,920,386","4,455,583","5,356,169","5,328,015","5,608,059","4,470,280","5,460,444","5,696,000","5,854,000","6,103,000","6,369,000","6,475,000","6,871,000","6,937,000","6,613,000","6,520,000","6,718,000","6,829,000","7,394,000","7,292,000","7,216,000","6,658,000","6,444,000","6,799,000","7,059,000","7,748,000","8,471,000","8,490,000","9,577,000","9,506,000","9,647,000","7,960,000","8,341,000"
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804230,"Unemployment Trust Fund, State Accounts, Deposits by States",16,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,036,353","19,968,720","18,832,483","19,133,514","18,310,383","17,292,022","15,967,350","15,296,144","17,604,970","20,966,474","22,484,227","23,158,000","22,706,000","22,071,000","21,047,000","19,894,000","20,701,000","20,824,000","20,911,000","26,702,000","32,605,000","35,076,000","35,938,000","33,709,000","32,217,000","31,138,000","38,281,000","49,269,000","59,378,000","48,952,000","46,450,000","47,786,000","46,554,000","50,708,000","50,013,000","48,809,000","49,388,000"
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,012,Department of Labor,00,Department of Labor,804250,"Unemployment Trust Fund, Deposits by Railroad Retirement Board",16,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"202,316","235,135","221,421","204,479","195,419","201,008","199,264","184,574","136,152","64,107","27,149","24,000","24,000","28,000","68,000","111,000","68,000","51,000","95,000","144,000","130,000","97,000","88,000","90,000","94,000","93,000","98,000","173,000","210,000","111,000","36,000","75,000","129,000","148,000","141,000","117,000","110,000"
933,Social Insurance Taxes and Contributions,10,Unemployment Insurance,446,Railroad Retirement Board,00,Railroad Retirement Board,801196,"Railroad Unemployment Insurance Debt Repayment Taxes, Rail Industry Pension Fund",60,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"156,739","157,635","62,772","112,441","113,316","60,771","88,520","32,645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,001,Legislative Branch,40,United States Tax Court,811510,"Tax Court Judges Survivors Annuity, Deductions from Employees Salaries",23,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,47,71,101,101,81,83,102,111,116,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,002,Judicial Branch,00,Judicial Branch,811010,"Judicial Survivors Annuity, Deductions from Employees Salaries",10,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,302","2,370","2,199","2,851","2,615","3,106","3,278","7,361","4,295","4,121","3,717","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","6,000","6,000","5,000","8,000","7,000","8,000","8,000","8,000","7,000","9,000","8,000","8,000","9,000","9,000","9,000","10,000"
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,002,Judicial Branch,00,Judicial Branch,812210,"Deductions from Employee Salaries and Voluntary Contributions, Judicial Officers' Annuity",10,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,430,306,366,372,378,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,"3,000","2,000","1,000","1,000","2,000","2,000","2,000","1,000","2,000","2,000","2,000","2,000","2,000"
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,014,Department of State,00,Department of State,818610,"Deductions from Employees Salaries, Foreign Service Retirement and Disability Fund",19,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,278","38,969","40,500","47,730","32,813","33,322","30,744","31,009","32,470","33,448","23,981","30,000","30,000","28,000","26,000","28,000","26,000","25,000","24,000","25,000","26,000","25,000","24,000","24,000","23,000","24,000","26,000","27,000","27,000","27,000","27,000","27,000","28,000","28,000","29,000","29,000","30,000"
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,014,Department of State,00,Department of State,818630,"Voluntary contributions, donations, service credit payments, etc., Foreign Service retirement and disability fund",19,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,409,528,621,304,374,375,376,378,828,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,027,Office of Personnel Management,00,Office of Personnel Management,813510,"Employee Contributions, Civil Service Retirement and Disability Fund",24,On-budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,395,304","4,553,015","4,500,365","4,437,932","4,411,289","4,304,850","4,281,896","4,317,053","4,498,348","4,467,860","4,370,730","4,274,000","4,211,000","4,168,000","4,087,000","4,213,000","4,506,000","4,157,000","3,998,000","4,004,000","3,963,000","3,818,000","3,715,000","3,589,000","3,501,000","3,459,000","3,373,000","3,310,000","3,012,000","2,817,000","2,757,000","2,975,000","3,091,000","3,558,000","3,830,000","4,131,000","4,465,000"
933,Social Insurance Taxes and Contributions,15,Other Retirement Contributions,027,Office of Personnel Management,00,Office of Personnel Management,813521,"District of Columbia Contributions, Civil Service Retirement and Disability Fund",24,On-budget,"12,454","13,320","14,563","16,340","17,640","18,684","19,867","24,291","29,289","36,534","38,833","41,033","44,925","52,434","54,231","13,323","58,923","62,324","66,042","59,228","76,148","71,887","77,669","85,844","87,374","96,282","101,685","121,876","118,597","116,596","108,242","105,219","95,826","98,254","89,000","80,000","74,000","74,000","73,000","70,000","66,000","61,000","53,000","51,000","50,000","50,000","51,000","44,000","38,000","35,000","30,000","28,000","26,000","26,000","25,000","23,000","22,000","22,000","22,000","21,000"
